Case,Activity,Timestamp,Resource,Injection,Aug,semantic_reason,augmented_activity,prompt,resource
15.0,Perform checks,2025-05-30 14:52:54,Clerk-000001,,0,,,,
15.0,Make decision,2025-05-30 22:07:24,Manager-000004,,0,,,,
15.0,notify reject,NaT,Manager-000006,,0,,,,
15.0,time out,NaT,,,0,,,,
15.0,EVENT 13 END,NaT,,,0,,,,
15.0,Check for completeness,NaT,Clerk-000003,,0,,,,
15.0,Make decision,NaT,,,1,The bank needs to review the customer's application and make a decision based on the information provided.,Make decision,"Context:
A This dataset records the sequence of activities for each customer using the bank’s credit service, including financial transactions and account management events. (case_id=15.0).
The following events have occurred so far:
at 2025-05-30 14:52:54, 'Perform checks' occurred.

Please predict the next most likely activity from the following candidates only:
[Check for completeness, Deliver card, EVENT 13 END, Make decision, New online application received, Notify accept, Perform checks, Request info, info received, notify reject, review request received, time out]

For your answer, output the next activity and provide a short reason for your choice.
Format:
Activity: <one of candidates>
Reason: <short reason>",
15.0,New online application received,NaT,,,0,,,,
19.0,EVENT 13 END,2025-05-30 07:11:06,,,0,,,,
19.0,Make decision,2025-05-30 12:46:42,Manager-000005,,0,,,,
19.0,Make decision,2025-05-30 12:53:03,,,1,"The last event was 'EVENT 13 END', which indicates that the",Make decision,"Context:
A This dataset records the sequence of activities for each customer using the bank’s credit service, including financial transactions and account management events. (case_id=19.0).
The following events have occurred so far:
at 2025-05-30 07:11:06, 'EVENT 13 END' occurred.

Please predict the next most likely activity from the following candidates only:
[Check for completeness, Deliver card, EVENT 13 END, Make decision, New online application received, Notify accept, Perform checks, Request info, info received, notify reject, review request received, time out]

For your answer, output the next activity and provide a short reason for your choice.
Format:
Activity: <one of candidates>
Reason: <short reason>",
19.0,notify reject,2025-05-30 12:59:24,Manager-000003,,0,,,,
19.0,Check for completeness,2025-05-30 18:58:18,Clerk-000001,,0,,,,
19.0,New online application received,2025-05-30 18:58:18,,,0,,,,
19.0,Request info,2025-05-30 22:09:54,Manager-000006,,0,,,,
19.0,info received,NaT,,,0,,,,
19.0,Check for completeness,NaT,Clerk-000003,,0,,,,
19.0,info received,NaT,,,0,,,,
19.0,Check for completeness,NaT,Clerk-000003,,0,,,,
19.0,review request received,NaT,,,0,,,,
19.0,Check for completeness,NaT,Clerk-000004,,0,,,,
19.0,Perform checks,NaT,Clerk-000001,,0,,,,
19.0,Request info,NaT,Manager-000005,,0,,,,
19.0,Perform checks,NaT,Clerk-000005,,0,,,,
19.0,Make decision,NaT,Manager-000003,,0,,,,
19.0,Notify accept,NaT,Manager-000004,,0,,,,
19.0,Deliver card,NaT,Manager-000001,,0,,,,
22.0,Request info,2025-05-30 00:23:06,Manager-000005,,0,,,,
22.0,info received,2025-05-30 05:00:42,,,0,,,,
22.0,Request info,2025-05-30 05:05:42,,,1,The customer may be requesting additional information to complete their application or transaction. This is a common activity,Request info,"Context:
A This dataset records the sequence of activities for each customer using the bank’s credit service, including financial transactions and account management events. (case_id=22.0).
The following events have occurred so far:
at 2025-05-30 00:23:06, 'Request info' occurred.
at 2025-05-30 05:00:42, 'info received' occurred.

Please predict the next most likely activity from the following candidates only:
[Check for completeness, Deliver card, EVENT 13 END, Make decision, New online application received, Notify accept, Perform checks, Request info, info received, notify reject, review request received, time out]

For your answer, output the next activity and provide a short reason for your choice.
Format:
Activity: <one of candidates>
Reason: <short reason>",
22.0,Check for completeness,2025-05-30 05:10:42,Clerk-000002,,0,,,,
22.0,time out,2025-05-30 05:34:24,,,0,,,,
22.0,EVENT 13 END,2025-05-30 05:44:24,,,0,,,,
22.0,Request info,2025-05-30 06:20:24,Manager-000003,,0,,,,
22.0,Check for completeness,2025-05-30 09:37:06,Clerk-000004,,0,,,,
22.0,New online application received,2025-05-30 09:37:06,,,0,,,,
22.0,info received,2025-05-30 19:05:48,,,0,,,,
22.0,Check for completeness,2025-05-30 19:15:48,Clerk-000001,,0,,,,
22.0,Request info,NaT,Manager-000006,,0,,,,
22.0,info received,NaT,,,0,,,,
22.0,Check for completeness,NaT,Clerk-000004,,0,,,,
22.0,Perform checks,NaT,Clerk-000002,,0,,,,
22.0,Make decision,NaT,Manager-000001,,0,,,,
22.0,notify reject,NaT,Manager-000004,,0,,,,
22.0,info received,NaT,,,0,,,,
22.0,Check for completeness,NaT,Clerk-000005,,0,,,,
22.0,Request info,NaT,Manager-000006,,0,,,,
23.0,notify reject,2025-05-30 03:41:48,Manager-000003,,0,,,,
23.0,review request received,2025-05-30 17:46:48,,,0,,,,
23.0,Check for completeness,2025-05-30 17:56:48,Clerk-000005,,0,,,,
23.0,Perform checks,2025-05-30 21:12:30,Clerk-000001,,0,,,,
23.0,Notify accept,2025-05-30 21:21:21,,,1,"The last activity was 'Make decision', and 'Notify accept",Notify accept,"Context:
A This dataset records the sequence of activities for each customer using the bank’s credit service, including financial transactions and account management events. (case_id=23.0).
The following events have occurred so far:
at 2025-05-30 03:41:48, 'notify reject' occurred.
at 2025-05-30 17:46:48, 'review request received' occurred.
at 2025-05-30 17:56:48, 'Check for completeness' occurred.
at 2025-05-30 21:12:30, 'Perform checks' occurred.
at 2025-05-30 21:30:12, 'Make decision' occurred.
at NaT, 'Notify accept' occurred.
at NaT, 'Deliver card' occurred.
at NaT, 'EVENT 13 END' occurred.
at NaT, 'Check for completeness' occurred.
at NaT, 'New online application received' occurred.
at NaT, 'Perform checks' occurred.

Please predict the next most likely activity from the following candidates only:
[Check for completeness, Deliver card, EVENT 13 END, Make decision, New online application received, Notify accept, Perform checks, Request info, info received, notify reject, review request received, time out]

For your answer, output the next activity and provide a short reason for your choice.
Format:
Activity: <one of candidates>
Reason: <short reason>",
23.0,Make decision,2025-05-30 21:30:12,Manager-000005,,0,,,,
23.0,Notify accept,NaT,Manager-000006,,0,,,,
23.0,Deliver card,NaT,Manager-000001,,0,,,,
23.0,EVENT 13 END,NaT,,,0,,,,
23.0,Check for completeness,NaT,Clerk-000006,,0,,,,
23.0,New online application received,NaT,,,0,,,,
23.0,Perform checks,NaT,Clerk-000003,,0,,,,
23.0,Make decision,NaT,Manager-000002,,0,,,,
24.0,Check for completeness,2025-05-30 06:13:48,Clerk-000004,,0,,,,
24.0,New online application received,2025-05-30 06:13:48,,,0,,,,
24.0,Perform checks,2025-05-30 09:30:54,Clerk-000002,,0,,,,
24.0,Make decision,2025-05-30 18:57:24,Manager-000004,,0,,,,
24.0,Notify accept,2025-05-30 19:56:06,Manager-000002,,0,,,,
24.0,Deliver card,2025-05-30 21:26:18,Manager-000003,,0,,,,
24.0,Perform checks,NaT,,,1,The bank likely needs to verify the information provided in the application before making a decision.,Perform checks,"Context:
A This dataset records the sequence of activities for each customer using the bank’s credit service, including financial transactions and account management events. (case_id=24.0).
The following events have occurred so far:
at 2025-05-30 06:13:48, 'Check for completeness' occurred.
at 2025-05-30 06:13:48, 'New online application received' occurred.

Please predict the next most likely activity from the following candidates only:
[Check for completeness, Deliver card, EVENT 13 END, Make decision, New online application received, Notify accept, Perform checks, Request info, info received, notify reject, review request received, time out]

For your answer, output the next activity and provide a short reason for your choice.
Format:
Activity: <one of candidates>
Reason: <short reason>",
24.0,EVENT 13 END,NaT,,,0,,,,
25.0,EVENT 13 END,2025-05-30 05:45:42,,,0,,,,
25.0,Check for completeness,2025-05-30 15:15:30,Clerk-000006,,0,,,,
